Name,
Age,
Gender,M
Seen,Y
Birth,
Exp_with_coding,Y
Education,Highschool
59.101,175.0
59.142,175.0
59.184,175.0
59.226,175.0
59.268,175.0
59.309,175.0
59.351,175.0
59.393,175.0
59.434,175.0
59.476,175.0
59.518,175.0
59.559,175.0
59.601,175.0
59.643,175.0
59.685,175.0
59.726,175.0
59.768,175.0
59.81,175.0
59.851,175.0
59.893,175.0
59.935,175.0
59.977,175.0
60.018,175.0
60.06,175.0
60.102,175.0
60.143,175.0
60.185,175.0
60.227,175.0
60.269,175.0
60.31,175.0
60.352,175.0
60.394,175.0
60.435,175.0
60.477,175.0
60.519,175.0
60.56,175.0
60.602,175.0
60.644,175.0
60.686,175.0
60.727,175.0
60.769,175.0
60.811,175.0
60.852,175.0
60.894,175.0
60.936,175.0
60.978,175.0
61.019,175.0
61.061,175.0
61.103,175.0
61.144,175.0
61.186,175.0
61.228,175.0
61.27,175.0
61.311,175.0
61.353,175.0
61.395,175.0
61.436,175.0
61.478,175.0
61.52,175.0
61.561,175.0
61.603,175.0
61.645,175.0
61.687,175.0
61.728,175.0
61.77,175.0
61.812,175.0
61.853,175.0
61.895,175.0
61.937,175.0
61.979,175.0
62.02,175.0
62.062,175.0
62.104,175.0
62.145,175.0
62.187,175.0
62.229,175.0
62.271,175.0
62.312,175.0
62.354,175.0
62.396,175.0
62.437,175.0
62.479,175.0
62.521,175.0
62.562,175.0
62.604,175.0
62.646,175.0
62.688,175.0
62.729,175.0
62.771,175.0
62.813,175.0
62.854,175.0
62.896,175.0
62.938,175.0
62.98,175.0
63.021,175.0
63.063,173.0
63.105,173.0
63.146,173.0
63.188,169.0
63.23,31.0
63.272,-236.0
63.563,-290.0
63.605,-261.0
63.647,-251.0
63.689,-244.0
63.73,-243.0
63.772,-250.0
63.814,-288.0
63.855,-296.0
63.897,-296.0
63.939,-296.0
63.981,-290.0
64.022,-286.0
64.064,-281.0
64.106,-270.0
64.147,-244.0
64.189,-222.0
64.231,-221.0
64.273,-221.0
64.314,-220.0
64.356,-219.0
64.398,-219.0
64.439,-219.0
64.481,-225.0
64.523,-250.0
64.564,-296.0
64.773,-297.0
64.815,-289.0
64.856,-282.0
64.898,-281.0
64.94,-280.0
64.982,-280.0
65.023,-280.0
65.065,-281.0
65.107,-281.0
65.148,-281.0
65.19,-281.0
65.232,-281.0
65.274,-277.0
65.315,-274.0
65.357,-273.0
65.399,-273.0
65.44,-273.0
65.482,-273.0
65.524,-273.0
65.565,-273.0
65.607,-273.0
